arch,case_id,klass,klass_name,dice,hd95
baseline,pancreas_409,1,pancreas,0.42705,9.43398
baseline,pancreas_409,2,mass,0.0,
baseline,pancreas_329,1,pancreas,0.51187,5.19615
baseline,pancreas_329,2,mass,0.37551,34.45285
baseline,pancreas_180,1,pancreas,0.75633,2.0
baseline,pancreas_180,2,mass,0.5358,9.15968
baseline,pancreas_347,1,pancreas,0.34438,7.27666
baseline,pancreas_347,2,mass,0.0,
baseline,pancreas_369,1,pancreas,0.71053,2.23607
baseline,pancreas_369,2,mass,0.0,24.03953
baseline,pancreas_159,1,pancreas,0.63261,5.0
baseline,pancreas_159,2,mass,0.54479,2.23607
baseline,pancreas_135,1,pancreas,0.57648,5.09902
baseline,pancreas_135,2,mass,0.51265,15.7712
baseline,pancreas_402,1,pancreas,0.6861,3.74166
baseline,pancreas_402,2,mass,0.0,
baseline,pancreas_416,1,pancreas,0.62713,2.23607
baseline,pancreas_416,2,mass,0.40316,2.23607
baseline,pancreas_058,1,pancreas,0.45809,5.0
baseline,pancreas_058,2,mass,0.0,
baseline,pancreas_198,1,pancreas,0.72266,2.23607
baseline,pancreas_198,2,mass,0.36364,3.16228
baseline,pancreas_209,1,pancreas,0.65302,2.0
baseline,pancreas_209,2,mass,0.17592,25.9604
baseline,pancreas_081,1,pancreas,0.46432,16.65082
baseline,pancreas_081,2,mass,0.01846,9.04431
baseline,pancreas_074,1,pancreas,0.37713,7.57951
baseline,pancreas_074,2,mass,0.11468,7.23526
baseline,pancreas_012,1,pancreas,0.61984,3.0
baseline,pancreas_012,2,mass,0.48427,4.47214
baseline,pancreas_247,1,pancreas,0.74738,3.0
baseline,pancreas_247,2,mass,0.30744,24.21981
baseline,pancreas_230,1,pancreas,0.65787,2.23607
baseline,pancreas_230,2,mass,0.4023,3.31662
baseline,pancreas_364,1,pancreas,0.51393,10.48809
baseline,pancreas_364,2,mass,0.07899,19.90465
baseline,pancreas_077,1,pancreas,0.69849,3.0
baseline,pancreas_077,2,mass,0.62115,3.4641
baseline,pancreas_166,1,pancreas,0.79709,1.41421
baseline,pancreas_166,2,mass,0.1388,18.13836
baseline,pancreas_113,1,pancreas,0.63177,7.07107
baseline,pancreas_113,2,mass,0.0,
baseline,pancreas_120,1,pancreas,0.41157,11.38857
baseline,pancreas_120,2,mass,0.09552,11.04536
baseline,pancreas_379,1,pancreas,0.62094,6.08276
baseline,pancreas_379,2,mass,0.09412,3.16228
baseline,pancreas_266,1,pancreas,0.75849,1.41421
baseline,pancreas_266,2,mass,0.30131,6.18043
baseline,pancreas_412,1,pancreas,0.69051,2.23607
baseline,pancreas_412,2,mass,0.0,23.30663
baseline,pancreas_278,1,pancreas,0.69069,24.12048
baseline,pancreas_278,2,mass,0.02614,44.42972
baseline,pancreas_401,1,pancreas,0.65395,3.0
baseline,pancreas_401,2,mass,0.00901,6.08276
baseline,pancreas_105,1,pancreas,0.73844,3.0
baseline,pancreas_105,2,mass,0.36036,3.16228
