arch,seed,case_id,klass,klass_name,dice,hd95
baseline,0,pancreas_158,1,pancreas,0.77529,1.41421
baseline,0,pancreas_158,2,mass,0.0293,20.25709
baseline,0,pancreas_313,1,pancreas,0.70538,2.44949
baseline,0,pancreas_313,2,mass,0.21818,28.93958
baseline,0,pancreas_312,1,pancreas,0.67566,2.82843
baseline,0,pancreas_312,2,mass,0.04819,7.21077
baseline,0,pancreas_055,1,pancreas,0.69833,3.31662
baseline,0,pancreas_055,2,mass,0.03846,11.98627
baseline,0,pancreas_286,1,pancreas,0.84362,1.41421
baseline,0,pancreas_286,2,mass,0.0,
baseline,0,pancreas_081,1,pancreas,0.46463,18.9103
baseline,0,pancreas_081,2,mass,0.0,24.18677
baseline,0,pancreas_070,1,pancreas,0.47573,5.09902
baseline,0,pancreas_070,2,mass,0.66626,3.18543
baseline,0,pancreas_050,1,pancreas,0.36382,18.05547
baseline,0,pancreas_050,2,mass,0.07668,17.49286
baseline,0,pancreas_165,1,pancreas,0.77313,1.41421
baseline,0,pancreas_165,2,mass,0.0,24.88469
baseline,0,pancreas_378,1,pancreas,0.80491,2.23607
baseline,0,pancreas_378,2,mass,0.0,28.02498
baseline,0,pancreas_326,1,pancreas,0.66229,3.31662
baseline,0,pancreas_326,2,mass,0.46154,2.23607
baseline,0,pancreas_346,1,pancreas,0.32629,19.1102
baseline,0,pancreas_346,2,mass,0.0,
baseline,0,pancreas_375,1,pancreas,0.82419,1.41421
baseline,0,pancreas_375,2,mass,0.0,9.43398
baseline,0,pancreas_005,1,pancreas,0.61526,8.84864
baseline,0,pancreas_005,2,mass,0.02166,13.50537
baseline,0,pancreas_405,1,pancreas,0.72977,3.0
baseline,0,pancreas_405,2,mass,0.0,11.13544
baseline,0,pancreas_110,1,pancreas,0.63982,3.0
baseline,0,pancreas_110,2,mass,0.0,21.20848
baseline,0,pancreas_229,1,pancreas,0.67291,3.0
baseline,0,pancreas_229,2,mass,0.03762,17.66325
baseline,0,pancreas_311,1,pancreas,0.51325,6.40312
baseline,0,pancreas_311,2,mass,0.0,8.30662
baseline,0,pancreas_113,1,pancreas,0.67683,5.83095
baseline,0,pancreas_113,2,mass,0.00184,11.22497
baseline,0,pancreas_228,1,pancreas,0.58261,4.0
baseline,0,pancreas_228,2,mass,0.3981,5.38516
baseline,0,pancreas_088,1,pancreas,0.55298,7.28011
baseline,0,pancreas_088,2,mass,0.26918,19.59318
baseline,0,pancreas_253,1,pancreas,0.70317,3.74166
baseline,0,pancreas_253,2,mass,0.0,25.49064
baseline,0,pancreas_392,1,pancreas,0.53878,8.18535
baseline,0,pancreas_392,2,mass,0.0,24.66366
baseline,0,pancreas_198,1,pancreas,0.73953,2.23607
baseline,0,pancreas_198,2,mass,0.30588,3.16228
baseline,0,pancreas_129,1,pancreas,0.66525,3.0
baseline,0,pancreas_129,2,mass,0.0,21.59977
baseline,0,pancreas_225,1,pancreas,0.75691,3.16228
baseline,0,pancreas_225,2,mass,0.13065,3.74166
baseline,0,pancreas_103,1,pancreas,0.61658,4.12311
baseline,0,pancreas_103,2,mass,0.02369,10.29563
baseline,0,pancreas_236,1,pancreas,0.58953,7.24561
baseline,0,pancreas_236,2,mass,0.39791,4.34233
baseline,0,pancreas_179,1,pancreas,0.73737,2.0
baseline,0,pancreas_179,2,mass,0.24335,7.1761
baseline,0,pancreas_358,1,pancreas,0.63793,7.48331
baseline,0,pancreas_358,2,mass,0.0,28.33461
baseline,0,pancreas_296,1,pancreas,0.7208,2.23607
baseline,0,pancreas_296,2,mass,0.36546,7.06041
baseline,0,pancreas_092,1,pancreas,0.69845,2.23607
baseline,0,pancreas_092,2,mass,0.27848,2.96569
baseline,0,pancreas_256,1,pancreas,0.69708,2.23607
baseline,0,pancreas_256,2,mass,0.0,27.23508
baseline,0,pancreas_235,1,pancreas,0.76613,2.0
baseline,0,pancreas_235,2,mass,0.30172,3.04057
baseline,0,pancreas_419,1,pancreas,0.56516,10.04988
baseline,0,pancreas_419,2,mass,0.0,7.82938
baseline,0,pancreas_294,1,pancreas,0.72787,2.23607
baseline,0,pancreas_294,2,mass,0.05329,9.21954
baseline,0,pancreas_077,1,pancreas,0.74314,2.23607
baseline,0,pancreas_077,2,mass,0.66453,3.16228
baseline,0,pancreas_212,1,pancreas,0.75536,5.6744
baseline,0,pancreas_212,2,mass,0.14433,8.06226
baseline,0,pancreas_280,1,pancreas,0.8089,1.41421
baseline,0,pancreas_280,2,mass,0.31447,21.46858
baseline,0,pancreas_145,1,pancreas,0.62974,3.0
baseline,0,pancreas_145,2,mass,0.3172,15.06652
baseline,0,pancreas_334,1,pancreas,0.54873,7.54983
baseline,0,pancreas_334,2,mass,0.0,4.58258
baseline,0,pancreas_105,1,pancreas,0.66191,6.40312
baseline,0,pancreas_105,2,mass,0.22642,12.10758
baseline,1,pancreas_158,1,pancreas,0.69737,2.44949
baseline,1,pancreas_158,2,mass,0.35556,3.35846
