arch,case_id,klass,klass_name,dice,hd95
sea,pancreas_409,1,pancreas,0.5938018816840614,6.0
sea,pancreas_409,2,mass,4.3271311102002893e-10,
sea,pancreas_329,1,pancreas,0.6344115249205747,3.7416573867739413
sea,pancreas_329,2,mass,0.4077669917287209,8.16069025861577
sea,pancreas_180,1,pancreas,0.7225093566703779,2.0
sea,pancreas_180,2,mass,0.6195426199381053,9.62517424953421
sea,pancreas_347,1,pancreas,0.39137466318214287,7.211102550927978
sea,pancreas_347,2,mass,2.1276595291987334e-08,15.257666244975779
sea,pancreas_369,1,pancreas,0.7353666050931351,2.449489742783178
sea,pancreas_369,2,mass,3.1746031645250694e-09,23.592357901431672
sea,pancreas_159,1,pancreas,0.6984043944940617,3.605551275463989
sea,pancreas_159,2,mass,0.7340267463090242,1.4142135623730951
sea,pancreas_135,1,pancreas,0.510123192339569,9.16515138991168
sea,pancreas_135,2,mass,0.03361344808511639,6.2444846616528675
sea,pancreas_402,1,pancreas,0.5534964172094152,5.0990195135927845
sea,pancreas_402,2,mass,5.025125602888816e-09,19.804037418898467
sea,pancreas_416,1,pancreas,0.5816587506095511,2.8094802556479705
sea,pancreas_416,2,mass,0.21341463654446757,3.605551275463989
sea,pancreas_058,1,pancreas,0.42762469500257255,6.4031242374328485
sea,pancreas_058,2,mass,6.024096349252431e-09,45.98205873170996
sea,pancreas_198,1,pancreas,0.7077772665191492,18.776293133927993
sea,pancreas_198,2,mass,0.659259260521262,2.23606797749979
sea,pancreas_209,1,pancreas,0.6432084752850532,2.0
sea,pancreas_209,2,mass,0.22782258142356596,18.44446020023267
sea,pancreas_081,1,pancreas,0.5987343826709826,10.198039027185569
sea,pancreas_081,2,mass,3.2573289796178206e-09,
sea,pancreas_074,1,pancreas,0.5387327949563494,5.830951894845301
sea,pancreas_074,2,mass,0.28017241534445597,4.123105625617661
sea,pancreas_012,1,pancreas,0.655290102434328,2.449489742783178
sea,pancreas_012,2,mass,0.2412868642878192,9.055385138137417
sea,pancreas_247,1,pancreas,0.7423153387762172,2.23606797749979
sea,pancreas_247,2,mass,0.3703703714303529,6.363839778884804
sea,pancreas_230,1,pancreas,0.5450121656082684,11.508672078793682
sea,pancreas_230,2,mass,0.4550264579099129,2.23606797749979
sea,pancreas_364,1,pancreas,0.5290035354813404,27.184554438136374
sea,pancreas_364,2,mass,7.241129610976734e-10,29.068883707497267
sea,pancreas_077,1,pancreas,0.6670538134597263,3.7416573867739413
sea,pancreas_077,2,mass,0.5796269733434333,4.123105625617661
sea,pancreas_166,1,pancreas,0.8021412394889558,1.0
sea,pancreas_166,2,mass,0.025188919332017834,20.835065351861115
sea,pancreas_113,1,pancreas,0.6680607528430486,6.0
sea,pancreas_113,2,mass,0.13227091702607893,16.195415950598818
sea,pancreas_120,1,pancreas,0.4124602093195861,18.466185312619388
sea,pancreas_120,2,mass,0.18497110297704564,9.251988880214578
sea,pancreas_379,1,pancreas,0.48491683127011087,23.382669425251876
sea,pancreas_379,2,mass,0.021978024664895533,25.865034312755125
sea,pancreas_266,1,pancreas,0.7312209174094347,1.7320508075688772
sea,pancreas_266,2,mass,0.2696177077070066,5.0990195135927845
sea,pancreas_412,1,pancreas,0.5534204459825441,5.916079783099616
sea,pancreas_412,2,mass,2.785515312575166e-09,24.563165049647786
sea,pancreas_278,1,pancreas,0.7128916282195964,22.841829886899788
sea,pancreas_278,2,mass,0.029090912621487587,5.408179999113793
sea,pancreas_401,1,pancreas,0.549642573649864,5.0
sea,pancreas_401,2,mass,0.3467230457785982,4.58257569495584
sea,pancreas_105,1,pancreas,0.6961157654998437,7.14142842854285
sea,pancreas_105,2,mass,1.204819262592539e-08,
sea,pancreas_187,1,pancreas,0.6101449276303997,8.12403840463596
sea,pancreas_187,2,mass,1.999999996e-09,
sea,pancreas_215,1,pancreas,0.7249614792517408,2.23606797749979
sea,pancreas_215,2,mass,0.2993492423007609,7.415295197728128
sea,pancreas_374,1,pancreas,0.7071617213442346,4.123105625617661
sea,pancreas_374,2,mass,1.8975332032304872e-09,11.08827773194831
sea,pancreas_114,1,pancreas,0.7056561086305819,4.358898943540674
sea,pancreas_114,2,mass,0.06417112466279656,10.0
sea,pancreas_219,1,pancreas,0.7137064072531605,1.7320508075688772
sea,pancreas_219,2,mass,0.5469387773594335,4.123105625617661
sea,pancreas_037,1,pancreas,0.6150834773039627,4.242640687119285
sea,pancreas_037,2,mass,0.1411290339896592,19.434845373316843
sea,pancreas_069,1,pancreas,0.43078486171430413,16.186414056238647
sea,pancreas_069,2,mass,1.430615162474084e-09,31.662271537311234
sea,pancreas_064,1,pancreas,0.7036263528187532,2.0
sea,pancreas_064,2,mass,0.548469388331034,2.8284271247461903
sea,pancreas_149,1,pancreas,0.672542735086466,4.0
sea,pancreas_149,2,mass,0.32982456257925513,25.787593916455254
sea,pancreas_256,1,pancreas,0.7363399827111144,2.23606797749979
sea,pancreas_256,2,mass,3.937007858515717e-09,23.364255850710766
sea,pancreas_158,1,pancreas,0.808248092253897,1.4142135623730951
sea,pancreas_158,2,mass,0.03533569245464419,20.029937593262737
sea,pancreas_197,1,pancreas,0.6308887810512654,4.58257569495584
sea,pancreas_197,2,mass,6.369426711022759e-09,7.442673796694409
sea,pancreas_199,1,pancreas,0.7477414871789102,2.0
sea,pancreas_199,2,mass,0.6973821992697569,22.22611077089287
sea,pancreas_040,1,pancreas,0.7772070937322214,3.0
sea,pancreas_040,2,mass,0.5917808224770126,5.196152422706632
